,ツイート画像1,ツイート画像2,ツイート画像3,ツイート画像4,ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数
0,None,None,None,None,1523494957473951744,2022-05-09_11:47:57,"水沢2R C2 ウマ娘血統
馬番 : 3 5
血統 : サクラバクシンオー アグネスタキオン
https://t.co/qXz9AHgEPC",0,0
1,None,None,None,None,1523493514826317825,2022-05-09_11:42:13,なんならアグネスタキオンの3冠のシナリオ読んでなかったですからねコイツ,1,1
2,None,None,None,None,1523493074076241920,2022-05-09_11:40:28,アグネスタキオンは良いぞ,0,0
3,None,None,None,None,1523491709707067392,2022-05-09_11:35:03,"#レース30分前
水沢 2R C2

2 ジェーマリン(タニノギムレット:父)
3 ラグランジア(サクラバクシンオー:母父)
5 ユウガ(アグネスタキオン:母父)
https://t.co/DSA5N7wWdp",0,0
4,None,None,None,None,1523489975282860032,2022-05-09_11:28:09,"鬼ゴルシ👹で心折れたんで
癒しを求めてライブシアター鑑賞。
ライブシアター本当好き。

1枚目
BLOW my GALE 

2枚目
彩 Phantasia 

3枚目
ENDLESS DREAM!!

4枚目
Make debu… https://t.co/MfV13dWnQs",0,0
5,None,None,None,None,1523482993758662657,2022-05-09_11:00:25,私はアグネスタキオン。こっちはトレーナー君改めアザラシ君だ,0,0
6,None,None,None,None,1523482906899140608,2022-05-09_11:00:04,"#レース30分前
水沢 1R C2

1 サバイバルナイト(マルゼンスキー:父父母父)
3 ナカハマチーク(アグネスタキオン:母父)
4 トチノラブ(タイキシャトル:母父)
5 ヤマニンココット(シンボリクリスエス:父父)
6 ユ… https://t.co/6xQWl6Y66n",1,0
7,None,None,None,None,1523480527705350144,2022-05-09_10:50:37,"ウマ娘のタキオンが着てる勝負服のパーカー発見🤩

イベントにも着ていきたくなる～😻

★ウマ娘 コスプレ アグネスタキオン パーカー★

他にもカフェやオグリ、カレンバージョンもある👀✨

ガチャ課金しないでグッズ集めようかな！？… https://t.co/Ei04DpcXmm",0,0
8,None,None,None,None,1523480116101521408,2022-05-09_10:48:59,最初期かつ短期間過ぎて「失伝した神話存在」とかそういう何かに似た文脈がある　一種のアグネスタキオン,0,0
9,None,None,None,None,1523479674768162817,2022-05-09_10:47:14,"外し屋ガジロ〜の更新予想
キャラ
イナリワン
アイネスフウジン

SSRサポカ
イナリワン
アグネスタキオン

理由はない",3,0
